"","policy_number","claim_ultimate","claim_number"
"182","C1AE00004421",110926.801929248,"CR0031343043"
"183","C1AE00444493",55543.6783592371,"CR0025464309"
"184","C1AE00879408",115108.975827134,"CR0048667051"
"185","C1AE00879408",65719.9495150759,"CR0078857109"
"186","C1AE00485672",45074.6805218439,"CR0035666683"
"187","C1AE00109121",21440.3122438181,"CR0034488268"
"188","C1AE00844191",9940.96872380982,"CR0063876842"
"189","C1AE00969950",73123.7395175519,"CR0092844683"
"190","C1AE00439416",20387.8801241057,"CR0070082529"
"191","C1AE00042202",32616.1299345987,"CR0097686047"
"192","C1AE00182521",67177.4963423405,"CR0090604499"
"193","C1AE00182521",50220.2283098651,"CR0076591404"
"194","C1AE00546186",43346.0525974101,"CR0016799311"
"195","C1AE00658990",58051.3191436735,"CR0057079213"
"196","C1AE00658990",210675.483439029,"CR0011336662"
"197","C1AE00658990",29151.2885592229,"CR0002745402"
"198","C1AE00658990",130106.266344731,"CR0040214475"
"199","C1AE00658990",47661.5660698882,"CR0026687983"
"200","C1AE00265054",218575.245663241,"CR0004886079"
"201","C1AE00265054",37842.7306245704,"CR0010973487"
"202","C1AE00221613",208429.21532329,"CR0039488289"
"203","C1AE00942300",161334.493496399,"CR0094552329"
"204","C1AE00942300",32554.7026614837,"CR0027706894"
"205","C1AE00942300",32799.9530720348,"CR0059710335"
"206","C1AE00942300",103304.734495599,"CR0089812071"
"207","C1AE00474346",460815.144131677,"CR0012194572"
"208","C1AE00474346",21394.1721366679,"CR0068379129"
"209","C1AE00562789",186118.182517011,"CR0075148079"
"210","C1AE00562789",44897.6578756119,"CR0011443423"
"211","C1AE00696598",78112.8872284008,"CR0009771020"
"212","C1AE00284857",76427.2743038268,"CR0004837183"
"213","C1AE00284857",42802.8915184181,"CR0062061335"
"214","C1AE00668028",19243.2909301829,"CR0023255668"
"215","C1AE00668028",26555.0291972801,"CR0048864171"
"216","C1AE00382114",42097.9642560846,"CR0079509295"
"217","C1AE00255874",119497.333817917,"CR0068262278"
"218","C1AE00034305",384212.246480385,"CR0053854482"
"219","C1AE00108453",110457.305868646,"CR0062525915"
"220","C1AE00731283",136849.678312004,"CR0061367981"
"221","C1AE00727650",18198.8103496929,"CR0021437814"
"222","C1AE00503936",24942.6655175412,"CR0009995491"
"223","C1AE00503936",44220.1841572074,"CR0094248241"
"224","C1AE00503936",10911.5648487584,"CR0096248900"
"225","C1AE00503936",34368.1190998255,"CR0087680479"
"226","C1AE00894102",65910.4398627973,"CR0083353714"
"227","C1AE00894102",23032.3247743831,"CR0095865605"
"228","C1AE00894102",1103496.42156613,"CR0065471097"
"229","C1AE00894102",38784.7897947598,"CR0035273797"
"230","C1AE00894102",39994.3155170412,"CR0077147791"
"231","C1AE00384059",48341.032153494,"CR0004217444"
"232","C1AE00604349",228831.885867229,"CR0098026485"
"233","C1AE00604349",6936.78564107386,"CR0015147649"
"234","C1AE00709020",34095.5747348246,"CR0037449602"
"235","C1AE00709020",24872.9474600717,"CR0022815534"
"236","C1AE00905369",88002.7580714471,"CR0037951852"
"237","C1AE00905369",211614.851332591,"CR0013022543"
"238","C1AE00905369",28368.5981508559,"CR0041667017"
"239","C1AE00905369",16035.1317709861,"CR0016106371"
"240","C1AE00183974",61609.6830400325,"CR0012482999"
"241","C1AE00183974",45175.4853788044,"CR0025107620"
"242","C1AE00433712",83397.010464644,"CR0065479945"
"243","C1AE00488148",41779.1250565268,"CR0004706478"
"244","C1AE00488148",61755.5864040034,"CR0066606236"
"245","C1AE00488148",74449.6410529462,"CR0005384667"
"246","C1AE00488148",42061.8485235803,"CR0044619572"
"247","C1AE00570989",40636.443468897,"CR0086574569"
"248","C1AE00086386",483294.182486547,"CR0051082200"
"249","C1AE00931849",1038511.01271811,"CR0088607978"
"250","C1AE00025736",45694.0407737502,"CR0089345618"
"251","C1AE00110470",105089.563092551,"CR0093463091"
"252","C1AE00562798",14538.0545597434,"CR0077264433"
"253","C1AE00932339",18143.9243931056,"CR0058156947"
"254","C1AE00292976",57387.7609838371,"CR0072424165"
"255","C1AE00292976",246589.302113461,"CR0095432613"
"256","C1AE00292976",554342.843671909,"CR0024834101"
"257","C1AE00562368",116757.968977331,"CR0054348766"
"258","C1AE00721592",13294.17122207,"CR0071806856"
"259","C1AE00140389",28285.095820408,"CR0011074134"
"260","C1AE00411640",29458.9071068279,"CR0034945276"
"261","C1AE00638420",66256.724446071,"CR0048318966"
"262","C1AE00638420",63357.7134685053,"CR0088747756"
"263","C1AE00638420",330184.316801686,"CR0068876141"
"264","C1AE00638420",23926.7315198236,"CR0095116585"
"265","C1AE00818276",29041.9195121094,"CR0036564685"
"266","C1AE00818276",14929.4156735499,"CR0028967615"
"267","C1AE00480191",130014.906100612,"CR0065891386"
"268","C1AE00724512",218050.902475454,"CR0031359757"
"269","C1AE00280079",321155.436498137,"CR0070226387"
"270","C1AE00470284",39763.4000293853,"CR0092843508"
"271","C1AE00190985",26927.6126550483,"CR0097717942"
"272","C1AE00190985",38854.7819859176,"CR0064104901"
"273","C1AE00811355",227757.09065753,"CR0014344061"
"274","C1AE00811355",90345.4933472719,"CR0012245890"
"275","C1AE00811355",132386.967739062,"CR0083269712"
"276","C1AE00967189",94717.3703838653,"CR0046400597"
"277","C1AE00241986",4009.04027379791,"CR0041472635"
"278","C1AE00890398",227076.02289086,"CR0019828306"
"279","C1AE00890398",164113.486584402,"CR0064435557"
"280","C1AE00486841",82717.7321324177,"CR0089250843"
"281","C1AE00818268",45228.5555892775,"CR0074037019"
"282","C1AE00638544",15305.9464594785,"CR0010894023"
"283","C1AE00638544",178729.384870407,"CR0056354267"
"284","C1AE00638544",133798.283117371,"CR0067912769"
"285","C1AE00638544",242720.078169326,"CR0062977942"
"286","C1AE00638544",72818.8102503992,"CR0043411986"
"287","C1AE00195382",188174.314380298,"CR0060195320"
"288","C1AE00795192",54292.5998326663,"CR0071374722"
"289","C1AE00599392",43307.1751420797,"CR0092137253"
"290","C1AE00950304",491231.501273951,"CR0080469189"
"291","C1AE00950304",136460.982742689,"CR0001521138"
"292","C1AE00950304",27110.301293739,"CR0072704893"
"293","C1AE00811062",17809.6814617614,"CR0038079669"
"294","C1AE00811062",37617.13554099,"CR0085368802"
"295","C1AE00718928",60663.4140440504,"CR0091792268"
"296","C1AE00718880",86232.8370715283,"CR0033149415"
"297","C1AE00638300",74978.4619925989,"CR0003739574"
"298","C1AE00638300",188119.278466339,"CR0028664612"
"299","C1AE00638300",38298.4584972324,"CR0088497197"
"300","C1AE00638300",38406.408317663,"CR0050225056"
"301","C1AE00691237",9457.43444207853,"CR0060631459"
"302","C1AE00239290",101091.777298286,"CR0006791000"
"303","C1AE00239290",20375.0781709208,"CR0094911925"
"304","C1AE00239290",94000.4759782157,"CR0077109449"
"305","C1AE00517704",56793.1798114077,"CR0098154193"
"306","C1AE00517704",83428.3506344275,"CR0034045016"
"307","C1AE00517704",16569.3370981842,"CR0003196708"
"308","C1AE00517704",16406.35155504,"CR0085025291"
"309","C1AE00517704",82786.3798081952,"CR0035998363"
"310","C1AE00517704",33247.0289716532,"CR0067055118"
"311","C1AE00517704",63829.4166586678,"CR0085943659"
"312","C1AE00517704",109981.264406745,"CR0034167163"
"313","C1AE00575675",41683.0805250796,"CR0090897881"
"314","C1AE00575675",203691.082970408,"CR0044440149"
"315","C1AE00239029",39602.7516317833,"CR0042905438"
"316","C1AE00239029",274433.862807911,"CR0002041536"
"317","C1AE00239029",123911.431924753,"CR0089595167"
"318","C1AE00018981",32167.8246772417,"CR0089278296"
"319","C1AE00248630",83136.3932995393,"CR0035356972"
"320","C1AE00248630",62095.2390754123,"CR0036813850"
"321","C1AE00248630",334153.7410929,"CR0052514931"
"322","C1AE00280752",89158.2083351123,"CR0046341186"
"323","C1AE00952217",38807.6677147887,"CR0016487114"
"324","C1AE00501569",22530.847583185,"CR0086722166"
"325","C1AE00501569",34440.5636525215,"CR0049540411"
"326","C1AE00501569",123727.672770958,"CR0046198958"
"327","C1AE00501569",65073.5929026268,"CR0061475981"
"328","C1AE00343035",53372.4362665139,"CR0000808424"
"329","C1AE00722997",14041.9411162419,"CR0000536140"
"330","C1AE00937606",39502.1887343997,"CR0094471862"
"331","C1AE00071902",43138.4996874067,"CR0019582178"
"332","C1AE00514890",85246.621935262,"CR0097892604"
"333","C1AE00271763",61680.2994792873,"CR0043397712"
"334","C1AE00251961",44667.3484570716,"CR0009225933"
"335","C1AE00251961",67446.7124296338,"CR0078598644"
"336","C1AE00251961",30555.5462328837,"CR0036683186"
"337","C1AE00238517",10347.9136482931,"CR0028572057"
"338","C1AE00238517",123446.338262207,"CR0005737207"
"339","C1AE00895688",42728.9661953048,"CR0034329439"
"340","C1AE00791130",60590.4903241947,"CR0057980524"
"341","C1AE00682567",19559.5833582224,"CR0053113737"
"342","C1AE00893554",48149.4121812875,"CR0026311203"
"343","C1AE00893554",58752.7369612464,"CR0053536425"
"344","C1AE00893554",103164.451261853,"CR0080306704"
"345","C1AE00646960",57092.8429642148,"CR0008547299"
"346","C1AE00646960",20684.0240953836,"CR0041618168"
"347","C1AE00678048",220241.081975445,"CR0041305653"
"348","C1AE00344840",98592.1705519177,"CR0047605455"
"349","C1AE00344840",38675.6405864605,"CR0077892284"
"350","C1AE00344840",144038.27657266,"CR0084048810"
"351","C1AE00762960",20529.8235662587,"CR0019125805"
"352","C1AE00848696",398317.200303223,"CR0058353925"
"353","C1AE00848696",340339.592545095,"CR0006502213"
"354","C1AE00848696",21828.4099831257,"CR0053679803"
"355","C1AE00132480",20860.0198344808,"CR0067520291"
"356","C1AE00132480",84519.4112880687,"CR0061609046"
"357","C1AE00132480",106822.143169889,"CR0040790390"
"358","C1AE00132480",91221.5316605775,"CR0070080827"
"359","C1AE00881741",30734.7170427615,"CR0053988797"
"360","C1AE00490553",82229.0767405958,"CR0075631467"
"361","C1AE00490553",39860.0120171113,"CR0037006890"
"362","C1AE00829532",19105.1535697917,"CR0039514168"
"363","C1AE00564493",22424.287985092,"CR0045009967"
"364","C1AE00063463",79631.285199996,"CR0031043832"
"365","C1AE00063463",23865.7232749599,"CR0062566050"
"366","C1AE00048758",183637.926628478,"CR0048957689"
"367","C1AE00048758",39910.9354039845,"CR0062631161"
"368","C1AE00959875",241625.044296485,"CR0026493169"
"369","C1AE00829902",49958.5539234779,"CR0062358968"
"370","C1AE00822583",42744.6418703054,"CR0049978902"
"371","C1AE00914860",12590.4738650671,"CR0023132784"
"372","C1AE00914860",77698.3854081375,"CR0086189664"
"373","C1AE00956004",185582.581181473,"CR0098747796"
"374","C1AE00956004",27337.1372612713,"CR0018981283"
"375","C1AE00956004",51203.191800592,"CR0016547259"
"376","C1AE00956004",62321.6092567418,"CR0055291624"
"377","C1AE00956004",130621.482466388,"CR0010946373"
"378","C1AE00956004",24638.6858717687,"CR0033331620"
"379","C1AE00876738",235462.018581617,"CR0003481125"
"380","C1AE00056212",55377.400358969,"CR0023642371"
"381","C1AE00585434",95027.5897745333,"CR0002695276"
"382","C1AE00428337",47518.4656437843,"CR0019561792"
"383","C1AE00372759",20624.6464400013,"CR0034046668"
"384","C1AE00047033",133398.095574059,"CR0013855167"
"385","C1AE00387588",315394.40971568,"CR0010251223"
"386","C1AE00133206",85935.7019507461,"CR0042461281"
"387","C1AE00640543",42169.7809717094,"CR0013686743"
"388","C1AE00640543",16676.2099695846,"CR0023390491"
"389","C1AE00323435",38859.8809241567,"CR0025538541"
"390","C1AE00163926",867757.7841706,"CR0026865723"
"391","C1AE00163926",529625.121987247,"CR0014033864"
"392","C1AE00163926",36628.6198977606,"CR0071450767"
"393","C1AE00163926",91260.3412735578,"CR0097828178"
"394","C1AE00583129",311130.266982454,"CR0069154150"
"395","C1AE00847466",75965.377654122,"CR0064901466"
"396","C1AE00560379",37390.4419516445,"CR0002572591"
"397","C1AE00314384",47925.4461019323,"CR0084824740"
"398","C1AE00827071",96750.473218741,"CR0046336690"
"399","C1AE00013829",24567.1507496788,"CR0056057719"
"400","C1AE00013829",119354.379578193,"CR0071027873"
"401","C1AE00713708",70098.6638441389,"CR0014450962"
"402","C1AE00713708",49203.5046120823,"CR0001063849"
"403","C1AE00773077",99299.0114351158,"CR0045446578"
"404","C1AE00342211",7646.6742171883,"CR0064983869"
"405","C1AE00531012",140395.416423578,"CR0064156971"
"406","C1AE00462788",46645.3301206757,"CR0042850803"
"407","C1AE00556065",22938.092288656,"CR0056598989"
"408","C1AE00948651",22732.3279987772,"CR0065691391"
"409","C1AE00948651",121527.774129945,"CR0042064054"
"410","C1AE00927817",20324.591275812,"CR0045055858"
"411","C1AE00042582",18470.0018544739,"CR0014113549"
"412","C1AE00042582",74617.2918479917,"CR0067621702"
"413","C1AE00042582",64670.4202219545,"CR0053504265"
"414","C1AE00042582",152322.138144338,"CR0064075294"
"415","C1AE00042582",90086.2337575524,"CR0014240870"
"416","C1AE00254135",16687.8216196981,"CR0029880001"
"417","C1AE00786181",45940.4954756888,"CR0067517659"
"418","C1AE00786181",28951.0392351482,"CR0036058743"
"419","C1AE00316187",29294.8873278536,"CR0032537373"
"420","C1AE00212274",18390.5347695219,"CR0068044429"
"421","C1AE00212274",7087.06040085777,"CR0060659571"
"422","C1AE00212274",84038.4903359352,"CR0073745274"
"423","C1AE00212274",24491.7905867143,"CR0094139860"
"424","C1AE00510153",48120.5354852233,"CR0039603651"
"425","C1AE00510153",8635.48452911181,"CR0099980647"
"426","C1AE00510153",205788.339856214,"CR0005223816"
"427","C1AE00688942",91891.6961020394,"CR0041843286"
"428","C1AE00688942",46984.8424389326,"CR0018750890"
"429","C1AE00688942",82393.8486752562,"CR0034371006"
"430","C1AE00456753",165539.821430568,"CR0002398469"
"431","C1AE00399323",63519.5257330014,"CR0022345366"
"432","C1AE00001406",265776.613542936,"CR0074604215"
"433","C1AE00001406",42871.5504033958,"CR0091133996"
"434","C1AE00648023",192627.321152932,"CR0028679998"
"435","C1AE00292357",19628.3567178486,"CR0047866026"
"436","C1AE00054019",55943.6964112588,"CR0080730293"
"437","C1AE00996405",349868.900333532,"CR0027298696"
"438","C1AE00996405",12985.3424492004,"CR0071261361"
"439","C1AE00996405",10936.2512027957,"CR0059272613"
"440","C1AE00092658",33603.6438491607,"CR0044225858"
"441","C1AE00092658",93680.9165654539,"CR0001792174"
"442","C1AE00770025",155262.227033639,"CR0089406157"
"443","C1AE00410366",11861.568672267,"CR0069342058"
"444","C1AE00410366",22783.4840933188,"CR0002554430"
"445","C1AE00219746",61136.3028637134,"CR0096297291"
"446","C1AE00559035",139213.677778231,"CR0004726287"
"447","C1AE00213644",379298.836244826,"CR0073694820"
"448","C1AE00213644",33826.3049557278,"CR0037374621"
"449","C1AE00024423",221069.058891152,"CR0036716262"
"450","C1AE00132127",17023.8156549879,"CR0021315500"
"451","C1AE00363135",103867.035548278,"CR0098917744"
"452","C1AE00363135",156488.476410173,"CR0071847230"
"453","C1AE00709406",37815.6785312215,"CR0048713571"
"454","C1AE00709406",185004.865891462,"CR0045470233"
"455","C1AE00709406",47609.2710905978,"CR0036849492"
"456","C1AE00060996",264553.439490804,"CR0011544494"
"457","C1AE00060996",14753.3707335688,"CR0086374836"
"458","C1AE00797507",43630.3823499456,"CR0005358562"
"459","C1AE00797507",10252.7665746783,"CR0029738016"
"460","C1AE00728750",70500.3194303336,"CR0020667316"
"461","C1AE00728750",29562.1189681411,"CR0076728191"
"462","C1AE00728750",111849.018571676,"CR0080711771"
"463","C1AE00569298",78679.2816416743,"CR0058859126"
"464","C1AE00569298",40348.7131748373,"CR0071040061"
"465","C1AE00850886",380086.157229292,"CR0048951995"
"466","C1AE00850886",25131.6104757516,"CR0044334468"
"467","C1AE00850886",59463.68535802,"CR0001456225"
"468","C1AE00236109",24750.1006739366,"CR0032862074"
"469","C1AE00236109",10715.5373775089,"CR0027332521"
"470","C1AE00170320",65342.5894433196,"CR0060665733"
"471","C1AE00170320",91111.7362132439,"CR0030757503"
"472","C1AE00170320",52172.2432840841,"CR0018503330"
"473","C1AE00170320",11969.8469811847,"CR0040604554"
"474","C1AE00170320",120889.645775148,"CR0086367343"
"475","C1AE00170320",73338.4580347608,"CR0064566043"
"476","C1AE00263014",24643.2960218527,"CR0015229807"
"477","C1AE00363068",145493.545828449,"CR0075399559"
"478","C1AE00363068",110938.119246554,"CR0077588590"
"479","C1AE00034706",56252.8977319237,"CR0050574252"
"480","C1AE00863806",36107.2174981361,"CR0052911988"
"481","C1AE00964607",17567.9526859611,"CR0018140264"
"482","C1AE00829044",151155.55021646,"CR0013669001"
"483","C1AE00084627",91975.8632781834,"CR0065975317"
"484","C1AE00084627",4214.08142467819,"CR0016113308"
"485","C1AE00166022",151748.920959956,"CR0066231334"
"486","C1AE00424114",304630.383913924,"CR0039198912"
"487","C1AE00424114",57722.720050177,"CR0007272565"
"488","C1AE00424114",76479.2656758835,"CR0079587314"
"489","C1AE00392527",34758.4620475111,"CR0075618872"
"490","C1AE00260987",42987.2573086824,"CR0061549529"
"491","C1AE00973691",20791.4548720459,"CR0025304970"
"492","C1AE00973691",21703.7090374158,"CR0050341955"
"493","C1AE00702266",80805.9803370751,"CR0008506705"
"494","C1AE00702266",100061.281139444,"CR0038445350"
"495","C1AE00847915",85512.2328892668,"CR0090669479"
"496","C1AE00611581",108888.371219271,"CR0070855068"
"497","C1AE00611581",55406.2880209654,"CR0046119297"
"498","C1AE00308646",3457.56002589016,"CR0057983919"
"499","C1AE00386069",313146.339509796,"CR0086734697"
"500","C1AE00960153",55163.4787386056,"CR0063183828"
"501","C1AE00960153",14637.2417673719,"CR0031923705"
"502","C1AE00960153",56097.4171131996,"CR0096149391"
"503","C1AE00960153",168999.363267809,"CR0001495157"
"504","C1AE00999978",76998.9592799138,"CR0088214703"
