"","policy_number","inception","expiration"
"152","C1AE00399583","201301","201401"
"153","C1AE00659934","201408","201508"
"154","C1AE00474899","201502","201602"
"155","C1AE00392578","201309","201409"
"156","C1AE00810618","201310","201410"
"157","C1AE00627408","201312","201412"
"158","C1AE00157838","201211","201311"
"159","C1AE00631078","201310","201410"
"160","C1AE00016000","201004","201104"
"161","C1AE00220222","201104","201204"
"162","C1AE00546480","201409","201509"
"163","C1AE00439813","201110","201210"
"164","C1AE00148363","201108","201208"
"165","C1AE00216501","201203","201303"
"166","C1AE00168574","201212","201312"
"167","C1AE00301246","201010","201110"
"168","C1AE00393631","201511","201611"
"169","C1AE00067203","201103","201203"
"170","C1AE00413802","201306","201406"
"171","C1AE00420112","201611","201711"
"172","C1AE00404600","201301","201401"
"173","C1AE00443259","201411","201511"
"174","C1AE00221807","201311","201411"
"175","C1AE00711988","201412","201512"
"176","C1AE00175806","201006","201106"
"177","C1AE00697564","201008","201108"
"178","C1AE00337648","201308","201408"
"179","C1AE00651453","201601","201701"
"180","C1AE00450394","201008","201108"
"181","C1AE00506522","201501","201601"
"182","C1AE00508110","201607","201707"
"183","C1AE00109019","201105","201205"
"184","C1AE00323305","201507","201607"
"185","C1AE00591646","201011","201111"
"186","C1AE00993270","200908","201008"
"187","C1AE00404199","200810","200910"
"188","C1AE00711438","200901","201001"
"189","C1AE00422402","201106","201206"
"190","C1AE00036292","201211","201311"
"191","C1AE00515806","201605","201705"
"192","C1AE00674361","201612","201712"
"193","C1AE00429932","201512","201612"
"194","C1AE00388797","200911","201011"
"195","C1AE00295635","201506","201606"
"196","C1AE00730975","201411","201511"
"197","C1AE00766275","201002","201102"
"198","C1AE00045066","201109","201209"
"199","C1AE00334410","200803","200903"
"200","C1AE00282506","201007","201107"
"201","C1AE00740796","201002","201102"
"202","C1AE00926228","201501","201601"
"203","C1AE00050044","201508","201608"
"204","C1AE00094503","201209","201309"
"205","C1AE00080240","200709","200809"
"206","C1AE00783912","201207","201307"
"207","C1AE00609996","201006","201106"
"208","C1AE00771186","201612","201712"
"209","C1AE00056237","200910","201010"
"210","C1AE00099397","201501","201601"
"211","C1AE00306459","201305","201405"
"212","C1AE00268094","201009","201109"
"213","C1AE00624230","201005","201105"
"214","C1AE00053972","200904","201004"
"215","C1AE00836893","200904","201004"
"216","C1AE00184792","201309","201409"
"217","C1AE00361686","201406","201506"
"218","C1AE00398322","201407","201507"
"219","C1AE00798192","201508","201608"
"220","C1AE00042194","201109","201209"
"221","C1AE00147709","201204","201304"
"222","C1AE00422199","201512","201612"
"223","C1AE00059314","201305","201405"
"224","C1AE00386742","201601","201701"
"225","C1AE00212461","201107","201207"
"226","C1AE00526535","201606","201706"
"227","C1AE00286408","201507","201607"
"228","C1AE00730094","201106","201206"
"229","C1AE00484857","201402","201502"
"230","C1AE00889675","201605","201705"
"231","C1AE00102649","201012","201112"
"232","C1AE00426407","201208","201308"
"233","C1AE00257529","201409","201509"
"234","C1AE00315339","201102","201202"
"235","C1AE00970065","200707","200807"
"236","C1AE00714128","201302","201402"
"237","C1AE00249284","201501","201601"
"238","C1AE00506912","201307","201407"
"239","C1AE00321252","201103","201203"
"240","C1AE00973776","201301","201401"
"241","C1AE00328039","201508","201608"
"242","C1AE00604680","201104","201204"
"243","C1AE00640676","201104","201204"
"244","C1AE00730802","201507","201607"
"245","C1AE00055499","201505","201605"
"246","C1AE00307176","201310","201410"
"247","C1AE00159910","201601","201701"
"248","C1AE00390477","201104","201204"
"249","C1AE00797363","201510","201610"
"250","C1AE00411303","200701","200801"
"251","C1AE00172535","201101","201201"
"252","C1AE00556699","200909","201009"
"253","C1AE00055396","201007","201107"
"254","C1AE00026862","201206","201306"
"255","C1AE00330088","201512","201612"
"256","C1AE00873082","201212","201312"
"257","C1AE00323982","201602","201702"
"258","C1AE00035834","201212","201312"
"259","C1AE00858250","201002","201102"
"260","C1AE00810343","200912","201012"
"261","C1AE00985719","201208","201308"
"262","C1AE00909232","201503","201603"
"263","C1AE00081259","201011","201111"
"264","C1AE00604850","201508","201608"
"265","C1AE00175544","201604","201704"
"266","C1AE00582875","201506","201606"
"267","C1AE00507789","201502","201602"
"268","C1AE00658036","201101","201201"
"269","C1AE00729359","201304","201404"
"270","C1AE00834597","201506","201606"
"271","C1AE00963181","200712","200812"
"272","C1AE00436786","201601","201701"
"273","C1AE00976127","201302","201402"
"274","C1AE00830395","201605","201705"
"275","C1AE00098259","201306","201406"
"276","C1AE00422723","201507","201607"
"277","C1AE00037866","201211","201311"
"278","C1AE00823548","200804","200904"
"279","C1AE00406505","201007","201107"
"280","C1AE00998385","200907","201007"
"281","C1AE00940010","201004","201104"
"282","C1AE00172959","201209","201309"
"283","C1AE00336673","201407","201507"
"284","C1AE00407190","201302","201402"
"285","C1AE00788232","200905","201005"
"286","C1AE00128313","201406","201506"
"287","C1AE00248234","201509","201609"
"288","C1AE00393581","200912","201012"
"289","C1AE00165189","201311","201411"
"290","C1AE00764552","201208","201308"
"291","C1AE00191643","201204","201304"
"292","C1AE00593635","201602","201702"
"293","C1AE00060132","201403","201503"
"294","C1AE00789362","201012","201112"
"295","C1AE00827792","200705","200805"
"296","C1AE00539092","201002","201102"
"297","C1AE00198168","201105","201205"
"298","C1AE00245655","200810","200910"
"299","C1AE00381544","201406","201506"
"300","C1AE00803603","201507","201607"
"301","C1AE00260786","201509","201609"
"302","C1AE00136909","200711","200811"
"303","C1AE00170489","201207","201307"
"304","C1AE00027995","201505","201605"
"305","C1AE00447643","201111","201211"
"306","C1AE00561572","201002","201102"
"307","C1AE00263048","201510","201610"
"308","C1AE00162940","201112","201212"
"309","C1AE00140368","201211","201311"
"310","C1AE00988555","201311","201411"
"311","C1AE00528027","201408","201508"
"312","C1AE00010632","201109","201209"
"313","C1AE00926290","200911","201011"
"314","C1AE00041851","201502","201602"
"315","C1AE00965918","201401","201501"
"316","C1AE00116658","201607","201707"
"317","C1AE00385705","201612","201712"
"318","C1AE00473356","201507","201607"
"319","C1AE00552510","201403","201503"
"320","C1AE00083639","201605","201705"
"321","C1AE00545623","201402","201502"
"322","C1AE00783957","200708","200808"
"323","C1AE00862466","201301","201401"
"324","C1AE00336206","201209","201309"
"325","C1AE00948019","201112","201212"
"326","C1AE00467790","201301","201401"
"327","C1AE00245963","201001","201101"
"328","C1AE00912445","201512","201612"
"329","C1AE00110557","200706","200806"
"330","C1AE00434854","201210","201310"
"331","C1AE00181982","200903","201003"
"332","C1AE00419516","201506","201606"
"333","C1AE00641415","201410","201510"
"334","C1AE00249912","201212","201312"
"335","C1AE00999353","201311","201411"
"336","C1AE00599111","201404","201504"
"337","C1AE00397117","201104","201204"
"338","C1AE00358086","200912","201012"
"339","C1AE00177436","201601","201701"
"340","C1AE00323241","201012","201112"
"341","C1AE00369355","201102","201202"
"342","C1AE00746164","201209","201309"
"343","C1AE00974162","201204","201304"
"344","C1AE00270354","201610","201710"
"345","C1AE00929657","201412","201512"
"346","C1AE00260107","201005","201105"
"347","C1AE00344425","201001","201101"
"348","C1AE00042310","201410","201510"
"349","C1AE00518121","201003","201103"
"350","C1AE00694365","200806","200906"
"351","C1AE00425874","200911","201011"
"352","C1AE00951770","201405","201505"
"353","C1AE00638874","201305","201405"
"354","C1AE00105374","201311","201411"
"355","C1AE00141610","201106","201206"
"356","C1AE00707817","201406","201506"
"357","C1AE00040592","201405","201505"
"358","C1AE00978435","200904","201004"
"359","C1AE00114554","201203","201303"
"360","C1AE00296956","201006","201106"
"361","C1AE00156520","201510","201610"
"362","C1AE00408492","201411","201511"
"363","C1AE00726453","201608","201708"
"364","C1AE00146849","201211","201311"
"365","C1AE00768882","201604","201704"
"366","C1AE00001212","201604","201704"
"367","C1AE00254835","201611","201711"
"368","C1AE00778810","201112","201212"
"369","C1AE00459151","200910","201010"
"370","C1AE00766987","201008","201108"
"371","C1AE00280792","201203","201303"
"372","C1AE00210614","201606","201706"
"373","C1AE00358017","200912","201012"
"374","C1AE00955188","201202","201302"
"375","C1AE00166097","201011","201111"
"376","C1AE00354851","201409","201509"
"377","C1AE00356162","201607","201707"
"378","C1AE00179564","201408","201508"
"379","C1AE00530452","200811","200911"
"380","C1AE00833910","201104","201204"
"381","C1AE00601949","201009","201109"
"382","C1AE00723604","200908","201008"
"383","C1AE00595987","201109","201209"
"384","C1AE00241516","201210","201310"
"385","C1AE00473144","200906","201006"
"386","C1AE00118776","201010","201110"
"387","C1AE00451053","201210","201310"
"388","C1AE00515542","201304","201404"
"389","C1AE00023993","201002","201102"
"390","C1AE00244476","201105","201205"
"391","C1AE00591273","201006","201106"
"392","C1AE00435149","201206","201306"
"393","C1AE00103348","201301","201401"
"394","C1AE00317196","201603","201703"
"395","C1AE00226027","201601","201701"
"396","C1AE00924667","201408","201508"
"397","C1AE00041732","201601","201701"
"398","C1AE00418964","200904","201004"
"399","C1AE00007008","201006","201106"
"400","C1AE00963927","201206","201306"
"401","C1AE00697435","200807","200907"
"402","C1AE00356207","200912","201012"
"403","C1AE00606264","201610","201710"
"404","C1AE00855349","201107","201207"
"405","C1AE00964805","201111","201211"
"406","C1AE00428231","200805","200905"
"407","C1AE00594885","201109","201209"
"408","C1AE00969790","201605","201705"
"409","C1AE00101499","200906","201006"
"410","C1AE00157240","201108","201208"
"411","C1AE00694165","200909","201009"
"412","C1AE00737383","201210","201310"
"413","C1AE00327915","201607","201707"
"414","C1AE00646015","201506","201606"
"415","C1AE00590267","201203","201303"
"416","C1AE00230005","201601","201701"
"417","C1AE00518181","201104","201204"
"418","C1AE00692794","201612","201712"
"419","C1AE00359275","201407","201507"
"420","C1AE00040574","201312","201412"
"421","C1AE00338092","201210","201310"
"422","C1AE00238731","201305","201405"
"423","C1AE00564701","201502","201602"
"424","C1AE00328779","201603","201703"
"425","C1AE00190724","201410","201510"
"426","C1AE00314813","201205","201305"
"427","C1AE00829698","201202","201302"
"428","C1AE00825316","201303","201403"
"429","C1AE00915237","201206","201306"
"430","C1AE00118917","201207","201307"
"431","C1AE00175224","201512","201612"
"432","C1AE00597047","201605","201705"
"433","C1AE00700156","201401","201501"
"434","C1AE00029456","201103","201203"
"435","C1AE00653786","201611","201711"
"436","C1AE00998994","201303","201403"
"437","C1AE00516978","201202","201302"
"438","C1AE00441739","201108","201208"
"439","C1AE00301784","201402","201502"
"440","C1AE00835309","200806","200906"
"441","C1AE00373450","201102","201202"
"442","C1AE00242012","201508","201608"
"443","C1AE00910277","201608","201708"
"444","C1AE00384515","201512","201612"
"445","C1AE00910295","201402","201502"
"446","C1AE00664927","201502","201602"
"447","C1AE00753542","200909","201009"
"448","C1AE00639409","201504","201604"
"449","C1AE00471322","201211","201311"
"450","C1AE00303035","200805","200905"
"451","C1AE00091062","201512","201612"
"452","C1AE00155556","200905","201005"
"453","C1AE00175229","201004","201104"
"454","C1AE00377408","201410","201510"
"455","C1AE00020428","201304","201404"
"456","C1AE00914086","201505","201605"
"457","C1AE00736533","201312","201412"
"458","C1AE00294795","201501","201601"
"459","C1AE00654349","201506","201606"
"460","C1AE00219568","200806","200906"
"461","C1AE00947689","201009","201109"
"462","C1AE00005580","201507","201607"
"463","C1AE00877941","201011","201111"
"464","C1AE00658319","201609","201709"
"465","C1AE00728905","201208","201308"
"466","C1AE00617041","201406","201506"
"467","C1AE00071042","201306","201406"
"468","C1AE00665406","201406","201506"
"469","C1AE00328561","201607","201707"
"470","C1AE00564176","201408","201508"
"471","C1AE00469488","201010","201110"
"472","C1AE00304798","200801","200901"
"473","C1AE00087447","201402","201502"
"474","C1AE00636952","201111","201211"
"475","C1AE00591796","201412","201512"
"476","C1AE00035251","200705","200805"
"477","C1AE00545836","201202","201302"
"478","C1AE00795434","200906","201006"
"479","C1AE00592232","201508","201608"
"480","C1AE00434356","201110","201210"
"481","C1AE00743289","200702","200802"
"482","C1AE00307092","201011","201111"
"483","C1AE00118572","201504","201604"
"484","C1AE00819848","201109","201209"
"485","C1AE00763256","201610","201710"
"486","C1AE00740762","201303","201403"
"487","C1AE00965960","201107","201207"
"488","C1AE00725122","200701","200801"
"489","C1AE00716385","200803","200903"
"490","C1AE00318862","201103","201203"
"491","C1AE00676888","201209","201309"
"492","C1AE00883077","201201","201301"
"493","C1AE00373146","201002","201102"
"494","C1AE00157042","201111","201211"
"495","C1AE00826166","201206","201306"
"496","C1AE00450222","201405","201505"
"497","C1AE00871622","200910","201010"
"498","C1AE00071773","201601","201701"
"499","C1AE00978103","201508","201608"
"500","C1AE00000196","201404","201504"
"501","C1AE00743316","200812","200912"
"502","C1AE00639372","201609","201709"
"503","C1AE00798113","201510","201610"
"504","C1AE00605333","201405","201505"
"505","C1AE00578021","200910","201010"
"506","C1AE00049220","201209","201309"
"507","C1AE00187133","201201","201301"
"508","C1AE00904510","200704","200804"
"509","C1AE00764039","201506","201606"
"510","C1AE00749550","201408","201508"
"511","C1AE00710152","201011","201111"
"512","C1AE00589242","201304","201404"
"513","C1AE00541658","201604","201704"
"514","C1AE00859252","201208","201308"
"515","C1AE00499244","201105","201205"
"516","C1AE00948314","201410","201510"
"517","C1AE00124844","201108","201208"
"518","C1AE00242574","201203","201303"
"519","C1AE00927312","201502","201602"
"520","C1AE00630730","200808","200908"
"521","C1AE00579729","201104","201204"
"522","C1AE00906310","201511","201611"
"523","C1AE00787217","201301","201401"
"524","C1AE00566839","201305","201405"
"525","C1AE00054735","201012","201112"
"526","C1AE00403465","201105","201205"
"527","C1AE00531030","201407","201507"
"528","C1AE00667473","201606","201706"
"529","C1AE00425430","201504","201604"
"530","C1AE00217447","201102","201202"
"531","C1AE00970370","201307","201407"
"532","C1AE00915862","201206","201306"
"533","C1AE00517693","200911","201011"
"534","C1AE00392159","201009","201109"
"535","C1AE00653338","201208","201308"
"536","C1AE00607123","201305","201405"
"537","C1AE00666325","201604","201704"
"538","C1AE00768875","201309","201409"
"539","C1AE00263644","201310","201410"
"540","C1AE00528097","200803","200903"
"541","C1AE00044153","201102","201202"
"542","C1AE00397345","201503","201603"
"543","C1AE00049614","201302","201402"
"544","C1AE00569910","201504","201604"
"545","C1AE00056867","201009","201109"
"546","C1AE00179888","201503","201603"
"547","C1AE00368062","201611","201711"
"548","C1AE00489937","201207","201307"
"549","C1AE00387362","200909","201009"
"550","C1AE00408927","201502","201602"
"551","C1AE00586410","201008","201108"
"552","C1AE00284959","201208","201308"
"553","C1AE00186600","200908","201008"
"554","C1AE00423340","201409","201509"
"555","C1AE00246218","201304","201404"
"556","C1AE00588969","201310","201410"
"557","C1AE00198890","201508","201608"
"558","C1AE00186738","200702","200802"
"559","C1AE00868843","201401","201501"
"560","C1AE00705262","200811","200911"
"561","C1AE00588286","201407","201507"
"562","C1AE00522963","201601","201701"
"563","C1AE00031016","201608","201708"
"564","C1AE00884499","201610","201710"
"565","C1AE00109684","201207","201307"
"566","C1AE00169788","201508","201608"
"567","C1AE00578623","201212","201312"
"568","C1AE00812948","201301","201401"
"569","C1AE00377148","201311","201411"
"570","C1AE00016170","201101","201201"
"571","C1AE00975704","201306","201406"
"572","C1AE00609038","201107","201207"
"573","C1AE00657454","201511","201611"
"574","C1AE00646953","201410","201510"
"575","C1AE00308934","201306","201406"
"576","C1AE00076108","200911","201011"
"577","C1AE00407279","200706","200806"
"578","C1AE00668314","201411","201511"
"579","C1AE00164478","200910","201010"
"580","C1AE00967107","201510","201610"
"581","C1AE00865760","200705","200805"
"582","C1AE00158756","201301","201401"
"583","C1AE00998677","201407","201507"
"584","C1AE00572942","201208","201308"
"585","C1AE00489123","201301","201401"
"586","C1AE00840780","201004","201104"
"587","C1AE00777430","201311","201411"
"588","C1AE00871429","201101","201201"
"589","C1AE00822070","200905","201005"
"590","C1AE00748932","201005","201105"
"591","C1AE00381713","201401","201501"
"592","C1AE00370977","201206","201306"
"593","C1AE00451134","201210","201310"
"594","C1AE00333308","201308","201408"
"595","C1AE00425048","201111","201211"
"596","C1AE00300139","201210","201310"
"597","C1AE00785433","201304","201404"
"598","C1AE00174588","201108","201208"
"599","C1AE00188452","201404","201504"
"600","C1AE00593945","201003","201103"
"601","C1AE00808553","201506","201606"
"602","C1AE00644052","200909","201009"
"603","C1AE00597905","201210","201310"
"604","C1AE00769897","201303","201403"
"605","C1AE00109297","201106","201206"
"606","C1AE00336247","201401","201501"
"607","C1AE00950071","201302","201402"
"608","C1AE00705503","201211","201311"
"609","C1AE00948107","201104","201204"
"610","C1AE00033545","200910","201010"
"611","C1AE00280226","201612","201712"
"612","C1AE00301359","201604","201704"
"613","C1AE00851709","200808","200908"
"614","C1AE00367057","201412","201512"
"615","C1AE00291343","201306","201406"
"616","C1AE00630066","201210","201310"
"617","C1AE00011021","201404","201504"
"618","C1AE00881565","201610","201710"
"619","C1AE00886691","201112","201212"
"620","C1AE00295619","201305","201405"
"621","C1AE00565279","201310","201410"
"622","C1AE00484964","200712","200812"
"623","C1AE00973974","201209","201309"
"624","C1AE00162159","201601","201701"
"625","C1AE00043856","201609","201709"
"626","C1AE00109615","200802","200902"
"627","C1AE00715387","201402","201502"
"628","C1AE00478135","201506","201606"
"629","C1AE00030203","201610","201710"
"630","C1AE00091712","201008","201108"
"631","C1AE00206718","201305","201405"
"632","C1AE00188412","201306","201406"
"633","C1AE00381914","200707","200807"
"634","C1AE00840483","201507","201607"
"635","C1AE00247326","201612","201712"
"636","C1AE00834170","201105","201205"
"637","C1AE00695648","201511","201611"
"638","C1AE00954655","201307","201407"
"639","C1AE00827505","201207","201307"
"640","C1AE00995595","201104","201204"
"641","C1AE00644953","201307","201407"
"642","C1AE00439737","201208","201308"
"643","C1AE00212487","201601","201701"
"644","C1AE00275224","201208","201308"
"645","C1AE00215991","201601","201701"
"646","C1AE00573445","201304","201404"
"647","C1AE00320901","201303","201403"
"648","C1AE00965434","201107","201207"
"649","C1AE00414072","201403","201503"
"650","C1AE00031726","200909","201009"
"651","C1AE00035100","200812","200912"
"652","C1AE00371903","200810","200910"
"653","C1AE00005184","201210","201310"
"654","C1AE00290126","201206","201306"
"655","C1AE00711424","201402","201502"
"656","C1AE00692648","201407","201507"
"657","C1AE00134541","201205","201305"
"658","C1AE00374993","201212","201312"
"659","C1AE00503358","201311","201411"
"660","C1AE00505002","201006","201106"
"661","C1AE00588888","201512","201612"
"662","C1AE00391390","201010","201110"
"663","C1AE00842563","201309","201409"
"664","C1AE00230952","201205","201305"
"665","C1AE00862282","201304","201404"
"666","C1AE00676202","201309","201409"
"667","C1AE00170502","201107","201207"
"668","C1AE00305762","201111","201211"
"669","C1AE00639968","201608","201708"
"670","C1AE00015126","201405","201505"
"671","C1AE00775445","201407","201507"
"672","C1AE00862867","200910","201010"
"673","C1AE00451746","201108","201208"
"674","C1AE00351234","200710","200810"
"675","C1AE00057114","201501","201601"
"676","C1AE00170772","201506","201606"
"677","C1AE00100842","200804","200904"
"678","C1AE00395618","201604","201704"
"679","C1AE00661810","201505","201605"
"680","C1AE00562653","201412","201512"
"681","C1AE00456632","201312","201412"
"682","C1AE00790737","201005","201105"
"683","C1AE00776152","201206","201306"
"684","C1AE00018544","201508","201608"
"685","C1AE00051385","201203","201303"
"686","C1AE00062962","200708","200808"
"687","C1AE00372751","200909","201009"
"688","C1AE00841739","201302","201402"
"689","C1AE00233038","201510","201610"
"690","C1AE00863073","200910","201010"
"691","C1AE00241054","200907","201007"
"692","C1AE00466429","201311","201411"
"693","C1AE00175790","201004","201104"
"694","C1AE00031241","201512","201612"
"695","C1AE00412639","200702","200802"
"696","C1AE00256545","201411","201511"
"697","C1AE00724473","201102","201202"
"698","C1AE00970867","201410","201510"
"699","C1AE00485219","201509","201609"
"700","C1AE00425332","201201","201301"
"701","C1AE00204205","200805","200905"
"702","C1AE00318720","201408","201508"
"703","C1AE00349165","201510","201610"
"704","C1AE00932270","201205","201305"
"705","C1AE00429689","201112","201212"
"706","C1AE00803083","201607","201707"
"707","C1AE00303353","201408","201508"
"708","C1AE00309411","201312","201412"
"709","C1AE00940104","201307","201407"
"710","C1AE00846249","200912","201012"
"711","C1AE00266285","201412","201512"
"712","C1AE00843623","201210","201310"
"713","C1AE00946758","201002","201102"
"714","C1AE00004244","201602","201702"
"715","C1AE00784059","201301","201401"
"716","C1AE00194302","201409","201509"
"717","C1AE00461645","201503","201603"
"718","C1AE00673486","201402","201502"
"719","C1AE00681386","201012","201112"
"720","C1AE00979993","201108","201208"
"721","C1AE00496377","201401","201501"
"722","C1AE00136581","200905","201005"
"723","C1AE00352676","201512","201612"
"724","C1AE00057667","201109","201209"
"725","C1AE00561711","201009","201109"
"726","C1AE00878669","201310","201410"
"727","C1AE00254651","201505","201605"
"728","C1AE00511086","201501","201601"
"729","C1AE00891680","201110","201210"
"730","C1AE00166387","201302","201402"
"731","C1AE00974135","201307","201407"
"732","C1AE00791079","201408","201508"
"733","C1AE00787677","201110","201210"
"734","C1AE00814308","201409","201509"
"735","C1AE00286055","201502","201602"
"736","C1AE00769548","201311","201411"
"737","C1AE00530823","201205","201305"
"738","C1AE00155025","200706","200806"
"739","C1AE00239320","201109","201209"
"740","C1AE00576168","201501","201601"
"741","C1AE00065620","201206","201306"
"742","C1AE00491913","201003","201103"
"743","C1AE00413747","200901","201001"
"744","C1AE00281492","201404","201504"
"745","C1AE00696754","201101","201201"
"746","C1AE00091014","201112","201212"
"747","C1AE00496428","201512","201612"
"748","C1AE00522797","201404","201504"
"749","C1AE00462247","200705","200805"
"750","C1AE00597311","201405","201505"
"751","C1AE00819092","201512","201612"
"752","C1AE00102965","201601","201701"
"753","C1AE00854631","201504","201604"
"754","C1AE00764644","201410","201510"
"755","C1AE00346093","201501","201601"
"756","C1AE00966040","201407","201507"
"757","C1AE00163109","201004","201104"
"758","C1AE00277932","201401","201501"
"759","C1AE00178746","201607","201707"
"760","C1AE00596300","201512","201612"
"761","C1AE00749817","201207","201307"
"762","C1AE00362972","200807","200907"
"763","C1AE00032811","201602","201702"
"764","C1AE00951850","201108","201208"
"765","C1AE00919065","201510","201610"
"766","C1AE00898020","201205","201305"
"767","C1AE00099359","201612","201712"
"768","C1AE00519088","201511","201611"
"769","C1AE00258230","201511","201611"
"770","C1AE00107179","201306","201406"
"771","C1AE00530621","201412","201512"
"772","C1AE00802839","200909","201009"
"773","C1AE00714304","201308","201408"
"774","C1AE00521828","201407","201507"
"775","C1AE00829357","201407","201507"
"776","C1AE00007224","200909","201009"
